标题,中文摘要
面向不确定性混频数据的软集合预测模型与方法研究,在物联网、大数据、云计算等现代信息技术快速发展的背景下，快速、有效、准确的预测是政府与企业进行科学管理的重要依据。目前预测所面向的主要数据形态已逐渐变为不确定性混频数据，已有预测模型和方法难以满足时效性和准确性需求。.本项目针对不确定性混频数据特征，基于软集合的软识别、软映射和软关系等方法，深入研究面向不确定性混频数据的预测模型和理论。首先需要识别不确定性混频数据类型，选择软集合的合适形式进行表示，构建一元软集合预测模型。然后，为了保持数据的原始性，并分析预测因子之间复杂的内在关系，将多元预测因子集成为软集合，构建面向不确定性混频数据的多元软集合预测模型，并基于软度量理论提出评价方法。研究结果将丰富与完善软集合和预测理论，并可在实践中指导政府与企业科学、高效地进行管理。
证券市场复杂网络的分形特征及风险传染研究,将复杂网络理论与分形理论相结合，构建证券市场复杂动态关联网络，依据网络拓扑结构，从时间和空间两个维度，研究股市结构特征、股市运行的关联模式及风险传染规律。主要内容包括：（1）股市复杂网络的空间分形特征。将研究金融市场复杂性的分形理论从时间维度回到空间维度，依据网络聚集系数时间序列，分析网络的多重分形特征。（2）股市复杂网络的时间分形特征。建立股市的动态复杂网络，基于分形理论，将市场特征与表征时间标度内的分形参数相结合，研究其运行周期。（3）股市复杂网络的短期风险传染。以VaR为风险指标，分别构建下跌、上涨和振荡期股票短期风险复杂网络，考察三种情况下的股市风险特征。（4）股市复杂网络的长期风险传染。应用SIR模型，构建由上市公司间交叉持股和投资者整体持股组成的股市关联复杂网络，分析网络出现随机故障和遇到蓄意攻击时，风险在网络中的传染过程。研究成果可为证券组合投资及风险管理提供新的思路和方法。
面向大规模定制的敏捷设施布置公理优化设计基础研究,针对设施布置现行方法缺乏统一理性指导框架，建立适合大规模定制敏捷设施布置新公理体系(包括定理、推论和法则)；研究含模糊不确定的设施布置公理设计体系及其域间/域中转化，包括R/S测度的模糊扩展等问题；提出第三隐含分解公理并在此基础上研究其模板独立最优粒度及独立公理可重构让步松弛问题；扩展提出更具实际价值的有性繁殖进化策略，解决其控制问题，探索采用不同匹配限制对种群的影响机制及对有性繁殖进化速度、多样性、早熟度等指标的影响；再以有性繁殖进化策略为基础对公理设计体系进行完善。本项目的完成将给大规模定制带来统一理性框架基础上的敏捷设施布置公理优化设计体系，整合碎片经验，利用零散历史数据和相似产品数据，快速低成本的进行敏捷化重构；希望能够填补伴性类进化算法这项研究空白，给制造系统敏捷设施布置及工业工程其它优化问题，带来一个性能更优越、适应面更广泛的新的广谱“推进剂”，并对其它领域也有一定的借鉴意义。
基于项目多不确定性的关键设计结构矩阵研究,项目多不确定性的复杂化是导致传统项目管理方法失效的关键原因。本课题将项目多不确定性看作一个复杂系统，针对项目进度管理中工期延长与工序迭代等现象，利用线性系统状态转换方程、变更预测法等工具，基于关键链与设计结构矩阵技术提出关键设计结构矩阵。主要研究包括：（1）基于项目多不确定性的关键设计结构矩阵机理分析；（2）基于项目多不确定性的关键设计结构矩阵构建方法；（3）基于项目多不确定性的关键设计结构矩阵鲁棒性测度；（4）基于项目多不确定性的关键设计结构矩阵仿真优化；（5）基于项目多不确定性的关键设计结构矩阵实证研究。本研究主要在于认识项目多不确定性的作用机理，构建关键链与设计结构矩阵的协同机制，提升项目管理方法，具有重要的理论和实践意义。
考虑患者行为的医疗联合体协同优化研究,新时期居民对医疗服务呈现出高需求，高标准和异质性的特点，而医疗服务提供从各类机构独立供给转变成为医疗服务联合体的形式。为促使医疗联合体发挥分级诊疗的功效，满足居民不同的医疗服务需求，降低总的医疗成本，本研究以医联体为背景，首先通过对患者医疗服务过程中受客观、主观等多因素影响而形成的“有限理性”行为进行建模研究。进一步从战略层研究医联体内多主体医疗机构间的双赢激励机制，针对患者需求异质性的特点，考虑患者就诊行为对医联体组成主体间协同优化激励机制的影响；通过合同设计医联体多主体间的服务能力分配与保险最优定价，实现社会福利最大化。最后从运作层研究机制设计均衡条件下的医疗服务机构间的资源动态共享策略。本研究将拓展行为科学在医疗服务领域的理论研究，对以“医联体”为代表特征的服务联合体在资源有限情况下制定双赢的合作模式提供决策支持，在运作层面对医联体多主体间资源共享策略提供量化指导 。
含有温储备元件的复杂多态多阶段系统的可靠性研究,"为了增加系统的可靠性，经常会使用到储备件。储备件可以分为冷储备，温储备和热储备。其中，温储备可以在能量消耗和系统恢复时间之间取得平衡。温储备元件作为储备时处于部分工作状态，只有在工作元件失效后才替换主元件进入完全工作状态。温储备元件在这两种状态下的故障发生率不同，这给温备份系统的可靠性建模带来很大的挑战。目前对含有温储备的系统的研究多局限于并联结构。 而实际的系统可能拥有更复杂的结构,比如串并联系统和连续连接系统。除了结构更复杂之外,系统还可能包括多个工作状态和多个工作阶段。由于温储备元件带来的故障时间相关性以及系统本身的复杂性, 很难用单一的可靠性评估方法对系统可靠性进行评估。本研究将结合多种可靠性评估方法建立起含有温储备元件的各种复杂多态多阶段系统的可靠性模型。"
限制型需求管理政策对城市交通需求-出行结构-网络流量协同演化的影响机理及政策优化研究,以限购和限行为代表的限制型交通需求管理政策在较长一段时期内将是我国大城市交通管理的重要手段，但这类政策对城市道路交通的影响机理及政策的优化设计还缺乏相应的理论研究，影响了政策效果的充分发挥。本项申请计划以实际调研中发现的一些现象为切入点，将限制型交通需求管理政策对城市道路交通系统的影响抽象为“多用户条件下考虑弹性需求的路网交通流演化”问题，包括两个层次：1.限购政策下城市机动车保有量与构成比例的调整规律；2.限行政策下异质出行者在不同交通方式和路径之间分布的演化规律。基于此构建限制型交通需求管理政策下交通需求-出行结构-路网流量分布的协同演化模型，评价这类政策对城市交通系统运行效率和环境的短期与长期影响，深化对于这类政策的科学认识。基于以上理论研究，提出限制型交通需求管理政策的评价与优化设计方法，弥补这类政策在我国大城市中“应用广泛但粗放”的弱点，对我国城市交通管理实践产生一定的指导作用。
基于大数据分析框架的在线信用评级关键技术研究,互联网金融在极大的促进我国经济发展的同时也导致了各种风险。本课题针对个人信用风险评估，探讨在线信用评分关键技术，从而对互联网金融的风险控制作出贡献。随着社交网络的普及，个人用户常在社交网络中遗留与信用风险相关的特征。然而，传统的信用评分模型没有充分利用这些社交网络特征。本课题的研究可弥补现存信用评级模型的不足，其难点在于从社交网络大数据里快速高效地挖掘隐藏的信用风险特征，从而支持近实时信用评分。围绕该核心问题，课题将提出一个大数据分析框架，并在此基础上重点研究以下内容：（1） 基于并行主题模型的个人信用风险行为特征挖掘；（2）基于动态社区搜索的社区风险特征挖掘；（3）大数据分析平台上计算任务的均衡分配。课题研究意义在于：1）理论上，发展面向互联网金融的大数据分析框架，丰富和扩充社交网络大数据挖掘的理论与技术；2）应用中，课题的研究成果可直接为互联网金融参与者提供针对个人的在线信用评分服务。
基于PEMS和交通仿真的普通公路机动车集成排放分析模型和交通排放评价体系研究,面对碳减排的严峻目标和碳排放的污染激增，开展公路交通减排对实现碳减排目标和碳排放污染控制有重要意义。建立适合我国公路的机动车个体排放模型和通过集成公路网机动车个体排放获得公路网集成交通排放是开展上述工作的前提，对交通减排有理论和应用的意义。本研究依托上海市、山西省、和无锡市普通公路网，采用PEMS收集机动车各类排放数据，结合交通仿真软件，构建普通公路交通集成排放分析模型，预测机动车个体排放和公路网集成排放。通过公路网整体交通排放分析和影响元素敏感度分析，解析公路交通特征对机动车和公路网交通排放的作用机理，从而建立公路交通排放评价模型和体系，并提出切实可行的公路减排策略。研究成果将把握我国公路交通排放的现状和趋势，明确公路机动车个体和公路网总体排放的关键影响因素，提出公路交通特征改善、公路规划和设计、交通管理方法优化的策略和建议，提高我国公路交通排放理论研究和决策应用的科学水平。
基于全局权重的绩效评价、改进方法与应用研究,现实中，指标价格（或权重）的不确定性高、原因多、现象广。基于权重选择的绩效评价理论研究是管理科学领域的一个国际性研究热点。本项目首先通过文献的现状分析和发展趋势，提出应重点发展基于全局权重的绩效评价和改进方法的研究，主要研究内容包括：（1）全局权重空间的Sampling算法；（2）效率、排名、占优的概率测度方法；（3）基于全局权重的绩效改进方法。这些研究一方面提出了一些新的效率评价方法，另一方面改进了一些现有DEA 方法，在一定程度上丰富和完善了DEA 理论体系。研究成果拟应用于医院的绩效评价与改进等实际问题中，为中国医疗服务行业的决策者提供有价值的决策建议。
关联基础设施系统的弹性优化,近年来，自然灾害、需求激增、气候变化等因素使得电力、天然气与交通等基础设施系统的故障概率与风险逐年增加；同时，这些系统相互关联（比如天然气系统需要电能控制气压，电力系统需要天然气发电），使得单个系统故障极易在系统间扩散，严重影响区域经济和人民生活。因此，弹性的基础设施成为许多国家追求的目标，即要求系统对各类灾害有较强的抵抗性、适应性与恢复能力，其中如何优化基础设施弹性是关键。目前，文献中针对蓄意破坏的弹性优化研究未考虑灾后恢复，针对随机事件的研究仅考虑个别弹性优化策略，同时多数研究仅针对单个系统且未考虑系统需求演化。本项目拟针对关联的多个基础设施系统，重点以电力与天然气系统为例，考虑多类候选策略，首先研究需求不变时分别针对蓄意破坏与随机事件的弹性优化方法；然后研究需求演化时针对多重危害源的时变弹性优化方法；最后用实际系统验证与完善上述方法，并开发关联电力与天然气系统的弹性决策支持原型系统。
金融市场主体行为趋同与极端事件研究,2015年及2016年中国A股市场同步性暴跌给市场交易者带来巨大的系统性市场风险和流动性风险，而主体行为趋同是引发这类金融极端事件的直接原因。本项目基于复杂经济学思想和复杂适应系统理论，通过基于多主体模型的计算实验并辅之以真人实验室实验，从不同角度研究主体行为趋同的深层机制以及其引发金融极端事件的自组织过程，其中将重点关注多主体的行为耦合和行为级联机制。项目还特别对“跌停”和“熔断”这类干预手段引发 “磁吸效应”的机制和动力学过程进行了探索。在以上研究成果的基础上，本项目将一般性地讨论主体行为多样化与市场稳健性的关系，并给出应对与主体行为趋同相关的系统性风险的政策建议。本项目研究有助于理解金融市场极端事件深层原因，并为科学应对相关金融系统性风险提供理论支持。
基于子群视角的多指标群组集成技术研究,随着评价对象的日益复杂，多指标子群评价已在经济管理中得到了广泛应用。其中，集成技术是多指标子群评价的一个核心内容，体现了个体意见向群组意见集聚的过程。本项目立足于集成技术，与现有研究相比，主要特点有：（1）从群组组织形式的角度，研究了各种子群交叉情形下的集成技术，克服了现有文献研究视角单一的缺陷；（2）在多指标子群评价中，同时存在多指标集成（横向集成）和子群集成（纵向集成）两个过程，不同的集成路径得到的结论存在潜在不一致。因此，从集成算子的角度提出双向集成一致性的条件，有利于提高结论的科学性与可靠性；（3）在动态多指标子群评价中，“动态”一般指时间的维度，但评价主客体的变动也会影响集成技术的选择。基于此，拓展了现有集成技术以满足不同的动态情形；（4）从集成技术的角度将意见差异分解成正常差异和非正常差异，并研究了动态情形下的时间效应和随机效应，以提高集成技术应用的科学性。
面向用户决策的多粒度主题信息结构抽取及行为机理研究,在海量、多维度、异质、多应用的大数据环境中，用户选择决策相关信息时面临着两项挑战：如何选择与风险因素具有对应语义粒度的信息，以及如何通过学习来识别有用信息并纳入决策行为。.本研究以海量数据为中心，首先设计出面向决策主题的多粒度信息结构抽取方法，并通过其建立起主题特征之间的语义关系、以及语义之间的层级关系网络来服务用户决策中的不同信息粒度需求。然后，通过分析网络上信息协同过程中的数据生成及演化规律，同时设计新的序列数据表示模型来挖掘用户行为中的语义模式，进而发掘用户在海量数据中的信息选择、评价及决策行为机理。.研究结果在决策信息结构表示，序列数据语义模式挖掘以及用户信息选择机理上有理论创新和技术实践意义。同时有望为研究成果在电子商务中的应用提供技术支持和系统示范。
 基于不确定网购行为的“送货上门”配送优化策略与算法,“送货上门”服务是一种新出现的网购配送模式，具有需求不确定、交付时间严格以及产品利润低等特点，目前尚很少有相关的模型和算法提出以帮助理解这类配送问题的复杂性及其内在特性。本项目试图从网购行为的随机性入手，通过整合大数据分析和收益优化技术，研究提出各种配送路径与调度优化策略，以支持高效低成本的配送决策。研究的主要贡献：（1）引入“送货上门”难题，借助在线交易和点击流数据， 通过大数据分析技术获得不同区域和时间的订单需求预测模型；（2）针对网购客户分类以及订单的异质性，建立了不同订单需求下的动态“时间窗”定价激励机制，综合比较不同订单配送策略的有效性；（3）创新提出解决“送货上门”问题的整合模型，模型组合了车辆路径问题与约定排程问题，并考虑到不确定的客户行为对系统运作的影响。研究将建立一套与消费者网购行为相匹配的“送货上门”理论和方法体系，从而更有效指导中国快递物流的实践。
基于召回成本分享与供应链竞争的供应链追溯和定价策略研究,供应链追溯策略，即供应链各成员选择最优的追溯能力来最大化自己的利润，对降低召回成本以及保障产品安全举足轻重。以往供应链追溯策略优化研究往往侧重追溯能力的定性比较，没有考虑追溯能力对召回成本以及供应链决策的定量影响。本项目主要研究不同召回成本分担模式和供应链类型下供应链追溯策略和定价策略的联合优化。首先，我们构建了一个综合考虑供应链追溯能力、原材料特性、质检策略的召回成本模型。考虑顾客对可追溯产品的支付意愿，研究不同召回成本承担模式下供应链追溯策略和定价策略联合优化，以及成本分享合同对均衡策略的影响；其次研究不同供应链竞争类型下基于召回成本分享的供应链追溯策略和定价策略联合优化；再次研究资金约束下企业的投资分配机制与政府的补贴机制来改善供应链追溯能力。最后研究如何将追溯策略和供应链契约结合起来以实现供应链协调。本项目将为我国的召回成本降低和产品安全保障提供切实可行的方案。
基于个体情感模型的舆情传播机制研究,在快速阅读的自媒体时代，传播力和影响力并不在于事实和逻辑的传递，而在于态度和情感的群体激发。舆情传播研究的关键要素一是网民情感、态度、意见、观点的表达，二是传播扩散机制。本课题研究分四个层次：解构网络舆情传播中的结构要素，剖析结构复杂性和行为选择方向性与多样性的互动演化机制；研究舆情事件中个体态度空间重构、演化所形成的思维逻辑和认知架构，以及网民知识体系、价值观、情绪、行为特征在领域舆情上的投射，揭示网民参与舆情传播的内在动因；研究舆情传播中个体行为的态度空间演化和行为驱动机制，以及情感共振和非理性扰动下，态度空间演化与传播行为的耦合机制；研究基于领域语义本体，刻画态度空间重构下的网络舆情传播机制，并通过实验仿真探究网络舆情传播中的个体网民行为和舆情传播规律，为舆情的监测和引导提供理论支撑。
短期行动与长期目标的背离：基于动态跨期决策视角的研究,无论企业、政府或个人，都会为未来发展设置长期目标，但其短期行动却经常与长期目标不一致甚至相背离。这种目标背离行动会导致长期目标不能如期实现甚至失败。本项目以计划行为理论、期望-价值理论、行为反馈控制理论和有关行为决策理论为基础，基于动态跨期决策视角，提出目标及行动动态竞争与决策选择的理论框架，认为背离行动的发生源于短期诱惑目标与长期目标相冲突所引发的背离行动与一致行动间的竞争，而采取特定行动的意愿取决于决策者对两类目标价值、目标与行动难度以及行动-目标关联度的评估与比较。随着目标进程中行动结果的持续反馈，决策者对目标和行动的再评估会导致其意愿和行动的动态变化。据此框架，本项目采用现场研究和“一致/背离”动态跨期决策模拟实验等方法，着重探究组织和个人背景下目标背离行动发生的心理与行为机制，并初步探讨干预措施的有效性。研究将为组织和个人减少目标背离行动，促进目标一致行动提供理论和研究依据。
PPP项目合作方利益侵占和协同控制研究,PPP模式已逐渐成为我国基础设施建设的主要模式，是解决我国城市化过程中基础设施短缺和政府财政不足矛盾的重要途径。PPP模式的本质是政府和企业的跨组织合作，其目的不仅是实现各自利益，更是为了创造项目价值。因此，如何根据项目目的的不同识别和区分合作中的基本问题并对其进行有针对性地控制是理论和实践中亟待解决的问题。本课题从PPP项目合作中发生的侵占与协同两种基本问题出发，将控制分为正式和非正式控制，采用理论建模和实证检验的方法分别研究正式和非正式控制对侵占问题中合作主体行为动机的激励约束条件和对协同问题中认知一致的制约路径，解析正式和非正式控制解决侵占与协同问题的替代和互补关系，并构建主观博弈模型研究正式和非正式控制在PPP项目实施过程中的动态相互影响关系，提出PPP项目控制设计和实施的方法和对策。研究结果能够为PPP项目中政府和企业契约及组织设计提供理论指导，对项目合作效率的提高具有重要意义。
建筑工程计划中Time Buffer 的形成和分配 – 工程项目管理中的社会性研究,"建设项目管理的研究长期聚焦在正式的合同和组织管理层面。对动态非正式沟通和决策的研究，尤其是Time Buffer的形成机制及社会性对其影响，在国内外基本处于空白。Time Buffer是计划的任务时间和在最有利情况下最短完成任务所需时间的差值。它在施工计划中普遍存在，层层叠加,导致浪费，延误工期。我们提出的研究目标为1）测量Time Buffer出现频度和程度,并跟踪其原因；2）用Structural Equation Modeling方法确认并建立Time Buffer产生机制模型；3）建立动态的以Specialty Trade为单位的Social Network; 4)从Social Network的中心度和可信度的角度分析社会性与Time Buffer的相互影响。研究结果将有助于项目管理者策略性地减少和分配Time Buffer，在不增加成本的前提下，有效地提高劳动生产率，缩短工期。"
集装箱班轮运输联盟网络优化与动态收益管理方法研究,金融危机后，班轮联盟不断深化，成为班轮公司应对市场竞争、完善服务网络、降低运营成本的重要手段，并对集装箱运输系统规划和班轮公司运营提出了新的课题。本项目针对班轮航线结构与网络的复杂性、联盟方式和市场结构的特殊性，综合运用博弈论、数学规划、网络规划、收益管理、航运管理等理论，构建班轮联盟网络优化与动态收益管理方法。主要包括：（1）建立班轮联盟航线网络优化方法，将班轮联盟航线设计、运营调度与收益分配机制设计相结合，在优化班轮联盟网络时考虑联盟成员的决策行为与激励机制；（2）构建班轮联盟动态收益管理方法，优化联盟背景下订舱上限、集装箱路径、订舱控制策略与转移价格，设计近似线性规划约简、时间和状态空间分解、列生成等求解算法。.本项目研究有助于提高班轮联盟网络设计与运营调度的科学性，丰富和深化大规模网络收益管理理论方法。研究结论可为联盟背景下班轮运营、多式联运系统协调、港口物流合作提供借鉴。
数据驱动的个性化医疗服务决策优化研究,作为大数据环境下医疗健康领域的一个重要发展方向，个性化医疗服务要求医院根据患者的实时医疗健康数据定制化其诊断和治疗方案，并通过学习医疗资源的供需规律构建数据驱动式的医疗运作决策，以最大化患者效用和医疗机构运作效率。本项目针对个性化医疗服务所面临的个性化健康管理及医疗资源采购和库存管理等问题，利用统计学、运筹学、机器学习等工具建立一系列数学模型，系统构建数据驱动的个性化医疗服务决策优化方法。具体而言，本项目将:（1）开发数据驱动的个性化健康管理策略（包括个性化健康风险评估模型和个性化治疗方案优化策略等）；（2）开发数据驱动的医疗资源（包括药品、血液、可再生医疗器械等）采购和库存管理策略；（3）以围术期患者健康管理为例开展个性化医疗服务实证研究。项目成果将丰富数据驱动的个性化服务决策理论，为医疗机构提供管理方法和管理启示，对提升我国医疗水平、促进医疗资源有效管理、提高国民健康水平具有重要意义。
不确定条件下随机OD需求估计的交通网络传感器最优放置模型与算法,使用传感器自动采集数据估计OD交通需求，是交通规划与管理者普遍采用的方法。传统的研究中，假设OD 需求是确定性的变量，因此仅考虑估计OD需求的均值(一阶统计量)而优化放置传感器，忽略了OD需求的二阶统计特征。但是在现实中，受到各种因素影响，OD需求具有随机性，交通规划与管理者需知道OD需求的波动性和相关性，即：需要估计OD需求的协方差(二阶统计量)。如何优化传感器的放置，从而准确的估计OD需求的均值和协方差，是本项目的主要研究内容。本项目首先分析传感器的放置对随机OD需求估计误差的影响，尤其是对二阶统计量(协方差)估计的最大可能的误差。在此基础上，给出基于随机OD需求估计的交通网络传感器最优放置模型并设计相关算法。最后，项目将应用该模型和算法开展实例研究。本研究不仅可以进一步深化和完善交通网络建模中传感器放置的相关理论，还可以为交通规划和管理提供新的科学依据和应用实例，具有理论和现实意义。
基于期权信息的预测与投资组合选择研究,本项目从实践应用出发研究期权在预测基本资产数字特征和构建投资组合中的作用。现有文献中，基于期权信息的预测研究往往只集中分析一两个特定指标的作用，且缺乏对高频历史数据的利用；而包含期权产品的投资组合研究大多只考虑静态投资组合模型。针对这些不足，本项目拟开展一系列的研究工作：综合利用各种期权信息共同预测基本资产回报率，并构建基本资产价格模型；综合利用高频历史数据和低频期权信息预测基本资产波动率，并构建有代表性的中国股票市场VIX指数；在期望效用最大化、均值-方差、均值-CVaR和展望理论框架下，开展利用期权信息的基本资产投资组合分析，及包含期权产品的动态投资组合分析。本项目最突出的两个创新点是：在预测中，注重高频信息和低频信息的结合；在投资组合选择中，关注动态策略与静态策略的对比。研究成果能够推动数理金融的发展，帮助投资者厘清期权市场与基本资产市场的联系，为我国期权类产品的研发提供建议。
基于区间计量模型的信息不完全下我国居民家庭夫妻收入差异研究,本项目研究信息不完全下基于区间计量模型理论的我国家庭夫妻收入差异研究。家庭内部夫妻收入差异是社会平均性别收入差异的重要组成部分。本项目将开创一套系统性的针对信息不完全情况下数据特征和统计推断特点的区间计量建模技术与统计推断方法，可直接产生家庭夫妻收入的预测区间、测算社会经济因素等对家庭内部收入差异的影响、掌握家庭内部收入差异变化的规律和未来趋势，为相关部门提供决策依据。具体研究内容包括：（1）建立家庭内部夫妻收入差异的区间计量模型，解决传统方法按性别分组建模的信息损失问题（2）信息不完全下区间样本的小域估计（收入的区域差异估计）方法、所得小域估计量的极限理论和统计推断。（3）Generalized Cross Validation技术对区间模型设定偏误的稳健估计和检验方法（4）应用区间计量模型对我国的家庭夫妻收入差异的主要影响因素进行分析测算和预报，并进行国际比较。
基于投资者情绪和信息传导分析的资产定价研究,随着投资者完全理性、投资者同质预期、套利的存在会清除非理性投资者的影响等假设被不断突破，非理性交易者的行为对资产价格的影响成为资产定价研究中的重要议题。本项目提出新的研究思路，通过对证券市场基本面信息的传导和非理性情绪的传染，来深入研究信息和情绪对交易者行为的影响，从而揭示资产定价的微观机制。基于此，扩展资产定价理论，进而改进资产定价模型。本项目将提出新的刻画和度量投资者情绪的方法，实现对单个投资者情绪和市场整体情绪的刻画和追踪，从而解决实证研究上的困难。本项目将为我国证券市场提供大量实证研究证据，并推动对资产定价机制的理论研究；同时，将进一步促进计量经济学模型和大数据分析方法的交叉融合，改进研究方法。本项目有着重要的学术价值，也有广泛的应用前景。本项目的工作将为证券市场参与者的投资决策和风险管理决策提供帮助，同时也为市场监管部门在完善市场规则和监管方法等政策方面提供决策依据。
基于“健康数据银行”的决策大数据价值生成原理及服务模式研究,为了提高医疗健康大数据的价值和基于大数据的决策能力，为依赖人工智能、机器学习等实现个性化健康管理和精准医疗的计算机算法提供基本原理，重点研究基于“健康数据银行”的决策大数据价值生成原理及服务模式，为数据驱动决策提供强有力的支持。从“健康数据银行”的视角，研究以电子健康档案为载体的个人健康数据银行原理和以医学知识库为载体的医学知识数据银行原理；面向医疗健康大数据，研究基于价值生成网络、基于信息结构优化、基于学习与协同创造的决策大数据价值生成原理；基于“健康数据银行”，研究基于贡献度评价的个性化健康管理服务模式、基于收益共享的精准医疗服务模式、基于网络协同的综合服务模式；在理论研究基础上，辅以实证研究来验证健康数据银行运营模式的可行性和有效性，为实现个性化健康管理（预防干预和临床干预）、精准医疗和探索未知的医疗健康领域提供可行的理论方法，为推动我国医疗健康产业可持续发展提供解决方案和决策建议。
基于均衡与风险传染的保险公司资产配置与风险管理决策研究,近年来我国保险业高速发展，然而大量保险公司资产配置效率不高，且面临巨大的流动性风险与系统性风险压力。本项目结合当前保监会加强资产配置与风险监管的实际背景，从保险公司的角度出发，分析管理者的主观偏好、市场风险传染和债务融资等因素对其资产配置与风险管理决策的影响。结合保险精算、行为金融、公司金融等理论知识及保险公司的经营特征，首先构建含时间不一致性偏好、风险传染和债务融资的保险公司投、融资与再保险决策模型。其次，运用随机控制理论、均衡理论、微分方程理论、动态规划方法和数值方法对模型进行求解，得到最优策略的解析解和数值解。最后，运用Monte Carlo模拟和计量统计方法对结果进行敏感性分析并予以经济解释。项目紧密联系实际，其研究内容也属于当前行为金融、保险精算领域的研究热点和前沿问题，研究结果既可完善已有理论研究，也可为保险公司和监管部门提供合理的意见与决策依据，因而具有重大的理论与现实意义。
在线消费者评论有偏性的影响因素及其作用机制研究,在线评论已经成为消费者了解商品质量和商家了解消费者反馈信息的重要渠道，目前基于消费者在线评论数据的学术研究和实践应用日趋繁荣，但在线评论的有偏性问题尚未引起广泛关注。本课题拟研究在线消费者评论有偏性的影响因素及其作用机制，主要包括样本覆盖问题、评分倾向性影响、网站环境影响和垃圾评论影响。具体研究：1)消费者参与在线评论的影响因素及其作用机制，以及各影响因素之间的逻辑结构；2)基于评论文本情感的消费者在线评分倾向性测量方法，以及消费者现实属性和虚拟属性对在线评分倾向性的影响机制和地区/文化因素的调节机制；3)评论网站、商品历史评论和在线社会网络嵌入对消费者在线评论有偏性的影响机制；4)基于评论者、评论和商品之间依赖关系的垃圾评论识别方法和基于评论时间序列的垃圾评论识别方法。研究成果将丰富在线评论和消费者行为等相关理论，为学术界和实践界准确客观解读在线用户创造内容提供基础理论和方法支持。
复杂产品装配过程多态质量数据流建模及预测控制方法研究,为实现复杂产品装配过程质量控制的主动预防，必须注重过程数据流的动态检测与分析，提高实时监测和在线控制能力。但是，鲜有研究从多态数据流视角探究如何实现复杂产品装配过程质量实时控制，不断提高产品质量水平。本项目以复杂产品装配过程质量为研究对象，从数据流采集预处理、数据流挖掘模型、实时评估方法和动态预测控制技术四个角度系统深入研究装配过程质量控制难题，提出数据流驱动的装配过程质量动态预测控制理论与方法。主要内容包括：(1)研究多态质量数据流采集及预处理方法，提出数据流不确定性建模方法；(2)研究装配过程多态质量数据流挖掘模型，提出概念漂移的质量数据流挖掘模式及算法；(3)研究基于数据流挖掘的装配过程质量实时评估模型，提出评估指标体系和评估方法；(4)研究数据流驱动的装配质量动态预测控制方法，提出装配质量异常模式诊断和协同控制方法。本项目将研究成果应用于某典型复杂产品装配过程质量控制进行实证研究。
不确定环境下的系统备件优化,维修保障对发挥装备战斗力具有重要作用，维修保障资源的合理利用是构建完善的装备维修保障的基础，而备件正是装备维修保障体系的重要组成部分。在备件保障决策中，表征备件不确定性的主要方法是基于大量统计数据的概率论，但这种方法显然不适用于缺乏大量统计数据的装备研制和初期使用阶段，不确定理论是清华大学刘宝碇教授于2007年提出的一种处理小样本数据的公理化数学体系。本项目将要基于不确定理论对系统备件进行集成优化，该方法能够在缺少数据甚至没有数据的情况下给出全局最优方案，实现备件之间的合理优化配置。研究内容：(1)优化系统备件的品种；(2)给出备件需求量的不确定分布函数获取方法；(3)建立不确定环境下的备件优化模型，集成各级备件维修保障站点位置及其备件库存数量，构建单目标及多目标多层规划模型；(4)研究不确定备件优化模型的确定等价模型；(5)设计有效算法求解备件集成优化模型。
有限理性情境下项目群多主体冲突的复杂网络生成与博弈研究,在分散化决策模式下，项目群管理系统的多任务、多主体、多目标特征往往导致非完全共同利益群体的“双重边界化”困境，使得多主体冲突成为项目群管理研究的难点。本研究综合运用复杂网络建模及不确定性推理技术，研究有限理性情境下项目群多主体冲突的认知与表征、网络生成与博弈问题。从项目群多主体冲突的产生机理入手，提出有限理性驱动下项目群多主体冲突的表征与分类框架，借助不确定性推理技术研究项目群多主体冲突的网络结构生成规则与综合生成方法；在此基础上，针对决策主体有限理性所导致的不同管理情境，构建基于信息异构、柔性认知和公平关切的项目群多主体冲突的复杂网络博弈模型，通过网络熵、策略集隶属度和公平感知函数来刻画多主体分散决策与策略交互的动态演化过程；提出面向网络协同优化的项目群多主体冲突多目标管控机制。本研究强调从有限理性视角探讨特定管理情境下的项目群多主体冲突问题，以期为项目群管理决策提供借鉴。
泡沫演变过程中的资产价格行为与投资组合管理研究,资产价格泡沫会加剧金融市场波动，甚至引发金融危机，危害市场稳定。本课题拟在资产价格服从布朗运动的基础上，通过引入泡沫成分改变价格方程的收益率项特征，构建包含泡沫的资产价格方程，进而利用状态空间模型和卡尔曼滤波等方法估计泡沫水平，并检验估计方法效果和鲁棒性。同时，从系统动力学角度建立泡沫演变特征与市场因素间的映射关系，构建多资产泡沫自旋系统，确立泡沫状态转变临界时点。借助数值理论与仿真模拟研究泡沫动力系统的状态响应曲线，寻找防止泡沫崩溃的最优控制方法。在此基础上，研究泡沫演变条件下的资产定价问题，探讨泡沫与投资者行为及资产价格行为之间的关系。最后，基于均值-方差理论探寻泡沫演变过程对投资组合有效边界的影响，构建含有泡沫成分的风险度量指标，深入研究泡沫条件下投资组合问题。本课题力图为投资者加强风险管理提供理论依据，帮助监管者制定有针对性的泡沫防范措施，完善资本市场制度建设。
